bll; char; 0041; LATIN CAPITAL LETTER A; A; 0041; A; icao-ext; identity
bll; seq; 0041 030B; LATIN CAPITAL LETTER A WITH COMBINING DOUBLE ACUTE ACCENT; A̋; 0041; A; icao-ext; mapped
bll; char; 0042; LATIN CAPITAL LETTER B; B; 0042; B; icao-ext; identity
bll; char; 0043; LATIN CAPITAL LETTER C; C; 0043; C; icao-ext; identity
bll; seq; 0043 0300; LATIN CAPITAL LETTER C WITH COMBINING GRAVE ACCENT; C̀; 0043; C; icao-ext; mapped
bll; seq; 0043 0304; LATIN CAPITAL LETTER C WITH COMBINING MACRON; C̄; 0043; C; icao-ext; mapped
bll; seq; 0043 0306; LATIN CAPITAL LETTER C WITH COMBINING BREVE; C̆; 0043; C; icao-ext; mapped
bll; seq; 0043 0308; LATIN CAPITAL LETTER C WITH COMBINING DIAERESIS; C̈; 0043; C; icao-ext; mapped
bll; seq; 0043 0315; LATIN CAPITAL LETTER C WITH COMBINING COMMA ABOVE RIGHT; C̕; 0043; C; icao-ext; mapped
bll; seq; 0043 0323; LATIN CAPITAL LETTER C WITH COMBINING DOT BELOW; C̣; 0043; C; icao-ext; mapped
bll; seq; 0043 0326; LATIN CAPITAL LETTER C WITH COMBINING COMMA BELOW; C̦; 0043; C; icao-ext; mapped
bll; seq; 0043 0328 0306; LATIN CAPITAL LETTER C WITH COMBINING OGONEK AND COMBINING BREVE; C̨̆; 0043; C; icao-ext; mapped
bll; char; 0044; LATIN CAPITAL LETTER D; D; 0044; D; icao-ext; identity
bll; seq; 0044 0302; LATIN CAPITAL LETTER D WITH COMBINING CIRCUMFLEX ACCENT; D̂; 0044; D; icao-ext; mapped
bll; char; 0045; LATIN CAPITAL LETTER E; E; 0045; E; icao-ext; identity
bll; char; 0046; LATIN CAPITAL LETTER F; F; 0046; F; icao-ext; identity
bll; seq; 0046 0300; LATIN CAPITAL LETTER F WITH COMBINING GRAVE ACCENT; F̀; 0046; F; icao-ext; mapped
bll; seq; 0046 0304; LATIN CAPITAL LETTER F WITH COMBINING MACRON; F̄; 0046; F; icao-ext; mapped
bll; char; 0047; LATIN CAPITAL LETTER G; G; 0047; G; icao-ext; identity
bll; seq; 0047 0300; LATIN CAPITAL LETTER G WITH COMBINING GRAVE ACCENT; G̀; 0047; G; icao-ext; mapped
bll; char; 0048; LATIN CAPITAL LETTER H; H; 0048; H; icao-ext; identity
bll; seq; 0048 0304; LATIN CAPITAL LETTER H WITH COMBINING MACRON; H̄; 0048; H; icao-ext; mapped
bll; seq; 0048 0326; LATIN CAPITAL LETTER H WITH COMBINING COMMA BELOW; H̦; 0048; H; icao-ext; mapped
bll; seq; 0048 0331; LATIN CAPITAL LETTER H WITH COMBINING MACRON BELOW; H̱; 0048; H; icao-ext; mapped
bll; char; 0049; LATIN CAPITAL LETTER I; I; 0049; I; icao-ext; identity
bll; char; 004A; LATIN CAPITAL LETTER J; J; 004A; J; icao-ext; identity
bll; seq; 004A 0301; LATIN CAPITAL LETTER J WITH COMBINING ACUTE ACCENT; J́; 004A; J; icao-ext; mapped
bll; seq; 004A 030C; LATIN CAPITAL LETTER J WITH COMBINING CARON; J̌; 004A; J; icao-ext; mapped
bll; char; 004B; LATIN CAPITAL LETTER K; K; 004B; K; icao-ext; identity
bll; seq; 004B 0300; LATIN CAPITAL LETTER K WITH COMBINING GRAVE ACCENT; K̀; 004B; K; icao-ext; mapped
bll; seq; 004B 0302; LATIN CAPITAL LETTER K WITH COMBINING CIRCUMFLEX ACCENT; K̂; 004B; K; icao-ext; mapped
bll; seq; 004B 0304; LATIN CAPITAL LETTER K WITH COMBINING MACRON; K̄; 004B; K; icao-ext; mapped
bll; seq; 004B 0307; LATIN CAPITAL LETTER K WITH COMBINING DOT ABOVE; K̇; 004B; K; icao-ext; mapped
bll; seq; 004B 0315; LATIN CAPITAL LETTER K WITH COMBINING COMMA ABOVE RIGHT; K̕; 004B; K; icao-ext; mapped
bll; seq; 004B 031B; LATIN CAPITAL LETTER K WITH COMBINING HORN; K̛; 004B; K; icao-ext; mapped
bll; seq; 004B 0326; LATIN CAPITAL LETTER K WITH COMBINING COMMA BELOW; K̦; 004B; K; icao-ext; mapped
bll; seq; 004B 035F 0048; LATIN CAPITAL LETTER K WITH COMBINING DOUBLE MACRON BELOW AND LATIN CAPITAL LETTER H; K͟H; 004B 0048; KH; icao-ext; mapped
bll; seq; 004B 035F 0068; LATIN CAPITAL LETTER K WITH COMBINING DOUBLE MACRON BELOW AND LATIN SMALL LETTER H; K͟h; 004B 0048; KH; icao-ext; mapped
bll; char; 004C; LATIN CAPITAL LETTER L; L; 004C; L; icao-ext; identity
bll; seq; 004C 0302; LATIN CAPITAL LETTER L WITH COMBINING CIRCUMFLEX ACCENT; L̂; 004C; L; icao-ext; mapped
bll; seq; 004C 0325; LATIN CAPITAL LETTER L WITH COMBINING RING BELOW; L̥; 004C; L; icao-ext; mapped
bll; seq; 004C 0325 0304; LATIN CAPITAL LETTER L WITH COMBINING RING BELOW AND COMBINING MACRON; L̥̄; 004C; L; icao-ext; mapped
bll; seq; 004C 0326; LATIN CAPITAL LETTER L WITH COMBINING COMMA BELOW; L̦; 004C; L; icao-ext; mapped
bll; char; 004D; LATIN CAPITAL LETTER M; M; 004D; M; icao-ext; identity
bll; seq; 004D 0300; LATIN CAPITAL LETTER M WITH COMBINING GRAVE ACCENT; M̀; 004D; M; icao-ext; mapped
bll; seq; 004D 0302; LATIN CAPITAL LETTER M WITH COMBINING CIRCUMFLEX ACCENT; M̂; 004D; M; icao-ext; mapped
bll; seq; 004D 0306; LATIN CAPITAL LETTER M WITH COMBINING BREVE; M̆; 004D; M; icao-ext; mapped
bll; seq; 004D 0310; LATIN CAPITAL LETTER M WITH COMBINING CANDRABINDU; M̐; 004D; M; icao-ext; mapped
bll; char; 004E; LATIN CAPITAL LETTER N; N; 004E; N; icao-ext; identity
bll; seq; 004E 0302; LATIN CAPITAL LETTER N WITH COMBINING CIRCUMFLEX ACCENT; N̂; 004E; N; icao-ext; mapped
bll; seq; 004E 0304; LATIN CAPITAL LETTER N WITH COMBINING MACRON; N̄; 004E; N; icao-ext; mapped
bll; seq; 004E 0306; LATIN CAPITAL LETTER N WITH COMBINING BREVE; N̆; 004E; N; icao-ext; mapped
bll; seq; 004E 0326; LATIN CAPITAL LETTER N WITH COMBINING COMMA BELOW; N̦; 004E; N; icao-ext; mapped
bll; char; 004F; LATIN CAPITAL LETTER O; O; 004F; O; icao-ext; identity
bll; char; 0050; LATIN CAPITAL LETTER P; P; 0050; P; icao-ext; identity
bll; seq; 0050 0300; LATIN CAPITAL LETTER P WITH COMBINING GRAVE ACCENT; P̀; 0050; P; icao-ext; mapped
bll; seq; 0050 0304; LATIN CAPITAL LETTER P WITH COMBINING MACRON; P̄; 0050; P; icao-ext; mapped
bll; seq; 0050 0315; LATIN CAPITAL LETTER P WITH COMBINING COMMA ABOVE RIGHT; P̕; 0050; P; icao-ext; mapped
bll; seq; 0050 0323; LATIN CAPITAL LETTER P WITH COMBINING DOT BELOW; P̣; 0050; P; icao-ext; mapped
